Tray,Vial,Description,Identifier 2
1,1,EV,standard
1,2,PZ,standard
1,3,UT2,standard
1,4,EV,standard
1,5,WREF3-C-5,22-042
1,6,WREF3-E-1,22-042
1,7,WREF3-010-1,22-042
1,8,WREF3-2030-2,22-042
1,9,WREF3-deep-3,22-042
1,10,WREF3-3040-2,22-042
1,11,WREF3-deep-1,22-042
1,12,WREF3-deep-2,22-042
1,13,EV,standard
1,14,WREF3-E-3,22-042
1,15,WREF3-010-2,22-042
1,16,WREF3-2030-3,22-042
1,17,WREF3-3040-3,22-042
1,18,WREF3-2030-1,22-042
1,19,WREF3-1020-1,22-042
1,20,WREF3-3040-1,22-042
1,21,WREF3-E-5,22-042
1,22,EV,standard
1,23,WREF3-1020-3,22-042
1,24,WREF3-010-3,22-042
1,25,WREF3-E-4,22-042
1,26,WREF3-D-5,22-042
1,27,WREF3-C-1,22-042
1,28,WREF3-D-1,22-042
1,29,WREF3-B-5,22-042
1,30,WREF3-B-1,22-042
1,31,EV,standard
1,32,WREF3-D-3,22-042
1,33,WREF3-B-2,22-042
1,34,WREF3-C-2,22-042
1,35,WREF3-C-4,22-042
1,36,WREF3-C-3,22-042
1,37,WREF3-A-5,22-042
1,38,WREF3-B-4,22-042
1,39,WREF3-D-4,22-042
1,40,EV,standard
1,41,WREF3-A-1,22-042
1,42,WREF3-D-2,22-042
1,43,WREF3-A-2,22-042
1,44,WREF3-A-3,22-042
1,45,WREF3-A-4,22-042
1,46,WREF3-E-2,22-042
1,47,WREF3-1020-2,22-042
1,48,WREF3-B-3,22-042
1,49,EV,standard
1,50,A00000358646,22-207
1,51,A00000358648,22-207
1,52,A00000141656,22-207
1,53,A00000151150,22-207
1,54,A00000151133,22-207
1,55,A00000151135,22-207
1,56,A00000077195,22-207
1,57,A00000141673,22-207
1,58,EV,standard
1,59,A00000141761,22-207
1,60,A00000358631,22-207
1,61,EV,standard
