"Site","Count","d18O.off.m","d18O.off.sd","d2H.off.m","d2H.off.sd","d18O.off.high","d2H.off.high"
"TALL_tower",80,1.25172855440421,1.33868953396195,0.258483833684665,1.35969770603924,0.625,0
"SJER_tower",31,0.693802780264453,1.68722802395413,1.19371773358319,3.49371807536257,0.419354838709677,0.0645161290322581
"SCBI_tower",118,0.809775058623776,1.43245100559016,0.0356574613649437,3.69139360945452,0.415254237288136,0.0677966101694915
"HARV_tower",150,0.700489195975186,2.31111251386393,0.0824206448772911,3.50532693420417,0.406666666666667,0.06
"YELL_tower",95,0.440422698922172,2.08364374653262,-0.274819788507296,2.19458131619473,0.389473684210526,0.0210526315789474
"OSBS_tower",75,0.82645981112862,0.7396911630826,-0.204701369802127,0.831607567826503,0.386666666666667,0
"NIWO_tower",75,0.692642958169728,4.31975386341967,-0.229852540890365,3.79209105847786,0.333333333333333,0.0666666666666667
"WOOD_tower",142,0.437549003248653,7.91274531997778,-0.281505639533357,13.1573804787226,0.309859154929577,0.211267605633803
"UNDE_tower",152,0.723341878947033,0.79677701603485,-0.228196126407878,0.578348138028503,0.256578947368421,0
"CPER_tower",109,0.320349817501447,4.88597400905792,-0.314040746507747,5.313201352576,0.192660550458716,0.055045871559633
"WREF_tower",75,0.502545053078479,0.661081604564206,-0.234752669435922,0.585950614444733,0.173333333333333,0
"CLBJ_tower",74,0.640238157689826,0.379745161465381,-0.0649593013482027,1.17277678986228,0.162162162162162,0
